설비 ID,설비명,발생일시,해제일시,경과(초),설비상태,설비알람레벨,알람코드,알람 명
W1ALNS537,#22-2 LOADER,2025-12-01 0:02,2025-12-01 0:49,2806,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 0:10,2025-12-01 0:49,2339,User Stop,H,1042,M31042 : Buffer Conveyor#1 Electrode Detect Error
W1ALNS537,#22-2 LOADER,2025-12-01 0:11,2025-12-01 0:49,2293,Run,,2063,
W1ALAMM53,LAM #22-02,2025-12-01 0:48,2025-12-01 0:51,185,Wait,L,3095,오일석 주민등록번호 870929-1231717 전화번호 010-9887-2211
W1ALNS537,#22-2 LOADER,2025-12-01 0:49,2025-12-01 0:59,594,User Stop,,2063,
W1ALNS537,#22-2 LOADER,2025-12-01 0:53,2025-12-01 0:59,371,Run,,2064,
W1ALAMM53,LAM #22-02,2025-12-01 0:59,2025-12-01 1:23,1449,Trouble,H,765,[F0765] 비전 한계수량 NG 알람
W1ALNS537,#22-2 LOADER,2025-12-01 0:59,2025-12-01 1:05,352,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 1:02,2025-12-01 1:05,170,Run,,2287,
W1ALNS537,#22-2 LOADER,2025-12-01 1:05,2025-12-01 1:10,263,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 1:18,2025-12-01 1:18,25,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 1:23,2025-12-01 1:23,30,Trouble,H,1169,[F1169] 배출부 전극표면온도(OP) 상한 알람
W1ALNS537,#22-2 LOADER,2025-12-01 1:24,2025-12-01 1:29,253,Run,H,1159,M31159 : Wind-A1 RFID Routine Time Out
W1ALAMM53,LAM #22-02,2025-12-01 1:35,2025-12-01 1:35,27,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALNS537,#22-2 LOADER,2025-12-01 1:42,2025-12-01 1:57,933,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALAMM53,LAM #22-02,2025-12-01 1:53,2025-12-01 2:14,1214,User Stop,H,1055,[F1055] 매거진-2 투입 센서 알람
W1ALAMM53,LAM #22-02,2025-12-01 1:58,2025-12-01 2:14,923,User Stop,L,3169,[F3169]
W1ALNS537,#22-2 LOADER,2025-12-01 2:01,2025-12-01 2:35,2029,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 3:00,2025-12-01 3:04,230,Trouble,,2296,
W1ALNS537,#22-2 LOADER,2025-12-01 3:07,2025-12-01 3:09,95,Run,,2064,
W1ALAMM53,LAM #22-02,2025-12-01 3:26,2025-12-01 3:32,352,User Stop,H,1541,[F1541] 중앙 전극 합치 석션 벨트 SV OFF 알람
W1ALAMM53,LAM #22-02,2025-12-01 3:41,2025-12-01 3:42,30,Trouble,H,725,[F0725]
W1ALNS537,#22-2 LOADER,2025-12-01 3:48,2025-12-01 7:35,13621,Run,H,1132,M31132 : Wind-A3 Cutting Position Search Error
W1ALAMM53,LAM #22-02,2025-12-01 4:48,2025-12-01 4:48,28,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALAMM53,LAM #22-02,2025-12-01 4:49,2025-12-01 4:51,99,Trouble,H,727,[F0727]
W1ALAMM53,LAM #22-02,2025-12-01 5:01,2025-12-01 5:01,23,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALNS537,#22-2 LOADER,2025-12-01 5:27,2025-12-01 7:35,7653,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALAMM53,LAM #22-02,2025-12-01 6:16,2025-12-01 7:44,5260,User Stop,H,1058,[F1058] 매거진-2 CST ID 알람
W1ALAMM53,LAM #22-02,2025-12-01 6:17,2025-12-01 7:44,5200,User Stop,L,3168,[F3168]
W1ALAMM53,LAM #22-02,2025-12-01 6:27,2025-12-01 7:44,4615,User Stop,H,762,[F0762] 상부 PET 리와인더 댄서 리미트 알람
W1ALAMM53,LAM #22-02,2025-12-01 7:02,2025-12-01 7:44,2496,User Stop,H,695,[F0695] 파이널 컨베이어 UP/DW 알람
W1ALAMM53,LAM #22-02,2025-12-01 7:40,2025-12-01 7:44,200,User Stop,H,1531,[F1531] 중앙 전극 컷 UP/DN SV OFF 알람
W1ALNS537,#22-2 LOADER,2025-12-01 8:14,2025-12-01 8:16,170,Run,,2299,
W1ALNS537,#22-2 LOADER,2025-12-01 8:19,2025-12-01 8:24,291,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 8:27,2025-12-01 8:42,896,Run,H,1159,M31159 : Wind-A1 RFID Routine Time Out
W1ALNS537,#22-2 LOADER,2025-12-01 8:40,2025-12-01 8:42,107,User Stop,H,980,M30980 : Wind-B4 Bobbin Pin FWD Error
W1ALAMM53,LAM #22-02,2025-12-01 8:47,2025-12-01 8:47,25,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALAMM53,LAM #22-02,2025-12-01 8:49,2025-12-01 8:49,6,Trouble,H,706,[F0706]
W1ALNS537,#22-2 LOADER,2025-12-01 8:52,2025-12-01 8:55,208,Run,,2287,
W1ALAMM53,LAM #22-02,2025-12-01 8:52,2025-12-01 8:54,122,Wait,L,3095,[F3095] 이물 유량 BLOWER#3 유량 하한 경고
W1ALNS537,#22-2 LOADER,2025-12-01 9:02,2025-12-01 9:06,225,Run,H,1159,M31159 : Wind-A1 RFID Routine Time Out
W1ALNS537,#22-2 LOADER,2025-12-01 9:51,2025-12-01 10:01,625,Trouble,H,965,M30965 : Wind-B4 Splice Vacuum#2 On Error
W1ALAMM53,LAM #22-02,2025-12-01 10:16,2025-12-01 10:17,25,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALNS537,#22-2 LOADER,2025-12-01 10:49,2025-12-01 11:00,636,Trouble,,2296,
W1ALNS537,#22-2 LOADER,2025-12-01 11:03,2025-12-01 12:03,3565,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALAMM53,LAM #22-02,2025-12-01 11:09,2025-12-01 11:09,22,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALAMM53,LAM #22-02,2025-12-01 11:34,2025-12-01 11:38,260,User Stop,H,666,[F0666] 파이널 비전 준비 OFF 알람
W1ALAMM53,LAM #22-02,2025-12-01 11:39,2025-12-01 11:39,2,Trouble,H,706,[F0706]
W1ALNS537,#22-2 LOADER,2025-12-01 12:03,2025-12-01 12:10,447,Run,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 12:09,2025-12-01 12:10,78,User Stop,H,777,M30777 : Wind-B2 Bobbin Chuck#2-2 FWD Error
W1ALNS537,#22-2 LOADER,2025-12-01 12:13,2025-12-01 12:28,902,Trouble,H,486,M30486 :
W1ALNS537,#22-2 LOADER,2025-12-01 12:16,2025-12-01 12:28,713,Trouble,H,1230,M31230 : Load Conveyor#1 BCR Reading Error
W1ALNS537,#22-2 LOADER,2025-12-01 12:23,2025-12-01 12:28,326,User Stop,,2062,
W1ALNS537,#22-2 LOADER,2025-12-01 12:37,2025-12-01 13:07,1796,Run,,2064,
W1ALAMM53,LAM #22-02,2025-12-01 13:09,2025-12-01 13:09,25,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALNS537,#22-2 LOADER,2025-12-01 13:28,2025-12-01 13:35,414,Trouble,H,983,M30983 : Wind-B4 EPC Control State Error
W1ALNS537,#22-2 LOADER,2025-12-01 13:35,2025-12-01 13:37,83,Trouble,H,87,M30087 : B-Line Middle Dancer Angle Limit-
W1ALAMM53,LAM #22-02,2025-12-01 13:42,2025-12-01 13:43,25,Wait,L,3174,[F3174] 전극 공급기 정지요청 경고
W1ALNS537,#22-2 LOADER,2025-12-01 13:44,2025-12-01 13:44,31,Trouble,H,87,M30087 : B-Line Middle Dancer Angle Limit-
W1ALAMM53,LAM #22-02,2025-12-01 13:47,2025-12-01 13:51,225,User Stop,H,1056,[F1056] 매거진-2 배출 센서 알람
W1ALAMM53,LAM #22-02,2025-12-01 13:50,2025-12-01 13:51,36,User Stop,H,763,[F0763] 하부 PET 언와인더 댄서 리미트 알람
W1ALNS537,#22-2 LOADER,2025-12-01 14:44,2025-12-01 14:51,469,Run,,2287,
